month,FR,BE,DE,CH,IT,ES,UK
202003,2.282777158,0,0.183103104,1.310477,0.32580788,2.300222,0.136419
202004,1.384265855,0,0.085697466,0.9862,0.431150825,2.076297,0.086961
202005,1.646199915,0,0.117526758,1.214385,0.610014555,1.9876755,0.084134
202006,1.88488594,0,0.197137929,1.73828,0.892342215,1.53547,0.093856
202007,1.360293985,0,0.17857546,2.051388,1.021269945,1.336529,0.080489
202008,0.81394242,0,0.138228314,1.845357,0.91467803,1.515043,0.109675
202009,0.754244185,0,0.174792528,1.659411,0.77806011,1.439827,0.115685
202010,1.2075462,0,0.106144298,1.501243,0.837975205,1.515757,0.153662
202011,1.36617877,0,0.155135883,1.593977,0.68300309,2.061569,0.166983
202012,1.5851876,0,0.082632349,1.610688,0.65220372,2.618543,0.188625
202101,2.589024685,0,0.110681068,1.914195,0.7512999,3.379794,0.182476
202102,2.175475005,0,0.098774603,1.340759,0.66055687,3.80356,0.136694
202103,1.79339026,0,0.113367063,1.356192,0.578871865,3.148715,0.144126
202104,0.95049564,0,0.066706223,0.869756,0.519635485,2.197161,0.165191
202105,1.241112555,0,0.079095719,1.067523,0.67562328,1.559057,0.1224
202106,1.562452375,0,0.286838989,1.802892,0.998226535,1.5315,0.123616
202107,1.222548025,0,0.23422663,1.855301,0.985112975,1.770159,0.128549
202108,0.91578467,0,0.259086931,1.856214,0.910046845,1.597419,0.114779
202109,0.92236921,0,0.146703293,1.328896,0.624810885,1.165801,0.154668
202110,0.594465855,0,0.029853188,1.053379,0.45810833,0.977769,0.161484
202111,1.11437227,0,0.123058139,1.60853,0.411563435,1.022178,0.173972
202112,0.98443749,0,0.075490638,1.255384,0.5163134,1.9884,0.196854
