week,FR,BE,DE,CH,IT,ES,UK
201821,0.708585459,0.57312187,0.684323814,0.933372642,0,0.710614996,0.76449034
201822,0.697338825,0.498163606,0.688366232,0.923938679,0,0.652906487,0.861758827
201823,0.670061777,0.498998331,0.687132507,0.633254717,0,0.710474586,0.860648457
201824,0.65770632,0.500834725,0.973776774,0.639740566,0,0.710895816,0.867310682
201825,0.674687153,0.501502504,0.968605627,0.861438679,0,0.708789666,0.818676438
201826,0.652146365,0.500500835,0.972700546,0.879127358,0,0.844285313,0.819009549
201827,0.673784255,0.498163606,0.968553129,0.821639151,0,0.844706543,0.815456362
201828,0.66632346,0.496661102,0.96550819,0.928950472,0,0.843162033,0.80068843
201829,0.702740377,0.495158598,0.822238556,0.923349057,0,0.909716372,0.805685099
201830,0.705591636,0.658263773,0.869382612,0.918926887,0,0.98146588,0.881634466
201831,0.674116902,0.65542571,0.943563628,0.908313679,0,0.98216793,0.884077282
201832,0.641026453,0.658096828,0.946923561,0.919811321,0,0.98146588,0.884965579
201833,0.632266751,0.491652755,0.950467241,0.915683962,0,0.98160629,0.816788807
201834,0.582242991,0.328380634,0.962594498,0.824587264,0,0.9817467,0.848656451
201835,0.613686045,0.329549249,0.957318354,0.823113208,0,0.98118506,0.87041972
201836,0.703294789,0.328380634,0.83302709,0.821049528,0,0.98244875,0.883633133
201837,0.740503722,0.327378965,0.840350693,0.919811321,0,0.98301039,0.810681768
201838,0.70576588,0.325876461,0.836938262,0.659492925,0,0.98272957,0.8086831
201839,0.706209409,0.324540902,0.844078119,0.618808962,0,0.98497613,0.757161892
201840,0.700300966,0.321202003,0.847228055,0.619398585,0,0.98946925,0.75571841
201841,0.681324252,0.318530885,0.843710626,0.619398585,0,0.98975007,0.698867422
201842,0.710248693,0.170951586,0.836885762,0.621757075,0,0.99101376,0.634687986
201843,0.716584825,0.171786311,0.843658127,0.623525943,0,0.99129458,0.661003775
201844,0.731300491,0.172287145,0.846965561,0.951356132,0,0.851305813,0.650344215
201845,0.739996832,0.171285476,0.97448551,0.958136792,0,0.844846953,0.704419276
201846,0.725534611,0.333555927,0.984591558,0.963148585,0,0.711878686,0.705751721
201847,0.740836369,0.335058431,0.985956531,0.963148585,0,0.710334176,0.774594715
201848,0.799413908,0.334557596,0.985326544,0.960790094,0,0.732659365,0.774483678
201849,0.82982734,0.335225376,0.993385133,0.957252358,0,0.849761303,0.770042194
201850,0.867733249,0.507512521,0.99748005,0.96196934,0,0.857483853,0.764823451
